name,reviews,rating,fulladdr,latitude,longitude,categories
Ristorante Cinese Haokelai,163,4.4,Via Santa Maria alle Pertiche. 20. 27100 Pavia PV,45.1890112,9.1601682,Chinese restaurant Magna
Harry's bar,168,4.3,Viale Cremona. 142. 27100 Pavia PV,45.178752,9.1935022,Bar Magna
Pronto pizza,169,4.6,Piazzale S. Giuseppe. 3. 27100 Pavia PV,45.1979286,9.1588333,Pizza delivery.Pizza restaurant Magna
Rom'antica,169,4,Corso Camillo Benso Cavour. 11. 27100 Pavia PV,45.1859102,9.1533913,Pizza restaurant Magna
Osteria La Cà Bella,173,4.3,Via Contardo Ferrini. 5. 27100 Pavia PV,45.1894945,9.1664757,Restaurant Magna
Alice Pizza Pavia,174,3.8,Strada Vigentina ang. Via cassani. 27100 Pavia PV,45.2049408,9.1725024,Pizza restaurant Magna
DeM Pavia,175,4.2,S.da Nuova. 86. 27100 Pavia PV,45.1857556,9.1552046,Restaurant.Bar.Cocktail bar.Espresso bar.Event planner.Small plates restaurant.Tapas restaurant Magna
Piazza Italia Restaurant,178,4.5,Piazza Italia. 12. 27100 Pavia PV,45.1879796,9.1560493,Restaurant.Italian restaurant Magna
Il Confluente,178,3.8,Viale Venezia. 48. 27100 Pavia PV,45.1758232,9.1705141,Restaurant.Bar Magna
Kame Ramen,179,4.4,Via Jacopo Bossolaro. 27. 27100 Pavia PV,45.1853018,9.1529221,Restaurant Magna
Achilli,190,4,Via Gaspare Aselli. 5. 27100 Pavia PV,45.1922434,9.1446517,Restaurant Magna
La Perla sul Fiume,194,4.1,Via S. Lanfranco Beccari. 52. 27100 Pavia PV,45.1939721,9.1243918,Italian restaurant Magna
Green Place,195,4.4,Via Pastrengo. 36. 27100 Pavia PV,45.1902957,9.1871414,Pub.Bar.Beer hall.Cocktail bar Magna
Chalet Bistrot Panetteria,212,4.2,Viale Camillo Golgi. 24B. 27100 Pavia PV,45.1954406,9.1466015,Bistro Magna
Nuova Cafè Restaurant & Catering,215,4.5,S.da Nuova. 126. 27100 Pavia PV,45.1873262,9.1559818,Caterer.Bar.Espresso bar.Restaurant Magna
Ristorante Pizzeria Voce del MarePAVIA,222,4.3,Viale Cremona. 172. 27100 Pavia PV,45.1783633,9.1948826,Pizza restaurant.Italian restaurant.Seafood restaurant Magna
MR.MONKEY,225,4.5,Strada della Paiola. 3. 27100 Pavia PV,45.1950169,9.1823199,Restaurant Magna
Rimani,244,4.2,Lungo Ticino Visconti. 8. 27100 Pavia PV,45.1818841,9.1474846,Italian restaurant Magna
Da Orazio,251,4.4,Piazzale Tevere. 3. 27100 Pavia PV,45.1949458,9.1246023,Pizza takeaway.Pizza restaurant Magna
Swimland Cafè,262,3.9,Via Cascinazza. 29. 27100 Pavia PV,45.205887,9.1381477,Restaurant.Bar.Pizza restaurant Magna
Lady Restaurant,265,4.3,Via Fossarmato. 7/a. 27100 Pavia PV,45.1925216,9.2208648,Seafood restaurant Magna
Infernot - enoteca,266,4.7,Via Mascheroni. 48. 27100 Pavia PV,45.1868037,9.1521288,Restaurant.Wine bar Magna
Barricati e Stagionati Vineria con Cucina,271,4.7,Corso Giuseppe Garibaldi. 36/d. 27100 Pavia PV,45.1820274,9.1605277,Restaurant.Italian restaurant.Wine bar Magna
Pancaffè,283,4.3,Viale Camillo Golgi. 4/6. 27100 Pavia PV,45.1956153,9.1482014,Bar.Bakery.Pizza restaurant Magna
Brau Stube,288,4,Piazza della Vittoria. 12/I. 27100 Pavia PV,45.1854009,9.1542108,Gastropub.German restaurant Magna
Antica Mescita Origini Vineria_Enobottega_e-commerce,295,4.7,Via Filippo Cossa. 18. 27100 Pavia PV,45.18396,9.151488,Restaurant.Beer hall.Gastropub.Grocery store.Pub.Wine bar.Sandwich shop Magna
Bred e Renato pizzamare,310,4.3,Via Paratici. 2. 27100 Pavia PV,45.1846927,9.1546284,Pizza restaurant Magna
Molto Più PIZZA BURGER E RESTAURANT,310,3.9,Corso Camillo Benso Cavour. 32i. 27100 Pavia PV,45.1865425,9.1495885,Pizza restaurant Magna
Corso 62,313,4.4,Corso Carlo Alberto. 60. 27100 Pavia PV,45.1873935,9.1581727,Pizza restaurant.Italian restaurant Magna
Pizzeria Shardana Pavia. consegna a domicilio,317,4.4,Via Moruzzi. 4. 27100 Pavia PV,45.1947818,9.1395171,Pizza restaurant Magna
Pasticceria Vigoni,320,3.9,S.da Nuova. 110. 27100 Pavia PV,45.1865468,9.1556034,Restaurant.Cake shop Magna
Forte Bar Tabaccheria - Toscani. Sigari. Pipe. IQOS Partner,323,4.3,Via Vigentina. 27. 27100 Pavia PV,45.2031167,9.1709285,Bar tabac Magna
Vega Cafè Food & Wine,335,4.2,Tangenziale Est. 27100 Pavia PV,45.2009268,9.1943081,Restaurant.Bar tabac.Gas station.Rest stop.Espresso bar.Sandwich shop.Small plates restaurant Magna
PRIMO pronto In Tavola,353,4.7,Viale Montegrappa. 28 M. 27100 Pavia PV,45.1815664,9.1799214,Restaurant.Italian restaurant Magna
Taverna del Gentilorco,355,4.7,Via Bernardino da Feltre. 27. 27100 Pavia PV,45.1846202,9.1480613,Restaurant.Beer hall.Gastropub.Hamburger restaurant.Pub Magna
Locanda del Carmine,360,4.3,Piazza del Carmine. 7/A. 27100 Pavia PV,45.1871216,9.1522198,Restaurant.Italian restaurant Magna
Vela Pizza & Tradizioni,361,4.5,Via Torquato Tasso. 84. 27100 Pavia PV,45.1938466,9.1666167,Pizza restaurant Magna
Osteria La Delizia,365,4.3,Viale Partigiani. 48. 27100 Pavia PV,45.1818623,9.169704,Fish restaurant.Italian restaurant.Restaurant Magna
Turkish,367,4.4,Via Torquato Tasso. 25. 27100 Pavia PV,45.191439,9.1639083,Kebab shop.Fast food restaurant.Pizza restaurant.Pizza takeaway Magna
Osteria della Darsena,369,4.2,Piazza Giovanni Morosi. 8. 27100 Pavia PV,45.1905079,9.1617314,Restaurant.Italian restaurant Magna
Hanami Ristorante Giapponese,374,4.4,Viale Partigiani. 141. 27100 Pavia PV,45.1821289,9.1738748,Restaurant Magna
Trattoria Ressi,384,4.2,Via Adeodato Ressi. 8. 27100 Pavia PV,45.1841165,9.159896,Restaurant.Diner Magna
ISTANBUL SÜPER KEBAP PIZZA GRILL PAVIA,397,4.8,Via Torquato Tasso. 32. 27100 Pavia PV,45.1927053,9.1657432,Kebab shop.Pizza restaurant Magna
Los Argentinos,414,4.4,Via Villa Glori. 10. 27100 Pavia PV,45.1829221,9.1574089,Argentinian restaurant Magna
Shanghai,433,4.1,Via Ticinello. 7. 27100 Pavia PV,45.1870818,9.1449734,Chinese restaurant.Sushi restaurant Magna
Ristorante Pizzeria D.O.C.,436,4.1,Via Gambarana. 15. 27100 Pavia PV,45.1957664,9.179215,Diner.Pizza restaurant.Restaurant Magna
La Nuova Toscana,437,4.3,Via Cardano. 6. 27100 Pavia PV,45.1833151,9.1537452,Pizza restaurant.Italian restaurant.Seafood restaurant Magna
Bardelli Restaurant,443,4.1,Lungo Ticino Visconti. 2. 27100 Pavia PV,45.1817588,9.1505095,Restaurant.Italian restaurant.Seafood restaurant Magna
PUBLIC HOUSE Pub - Birreria - Steak House,450,4.5,Via Cascina Mensi. 118. 27010 Albuzzano PV,45.2046146,9.2704928,Steak house.Beer hall.Brewpub.Pub Magna
Cumino,454,4.3,Corso Giuseppe Mazzini. 4a. 27100 Pavia PV,45.1853732,9.155677,Bistro Magna
