name,reviews,rating,fulladdr,latitude,longitude,categories
BAR SEMPLICITA',40,4.3,Via Varesina. 13. 20156 Milano MI,45.4943395,9.1484403,Bar.Beer store.Cake shop.Cocktail bar.Italiano Ristorante.Pizza Ristorante.Salad shop.Sandwich shop.Wine bar Magna
Bar tabacchi riviera,40,4.3,C.so Indipendenza. 25. 20129 Milano MI,45.4683653,9.2158657,Bar Magna
AL BACIO Turati - Colazioni. Pranzi. Aperitivi e Cene Casual Gourmet,40,4.2,Via Filippo Turati. 26. 20121 Milano MI,45.4759286,9.1949782,Lunch Ristorante.Diner.Fish Ristorante.Italiano Ristorante.Mediterranean Ristorante.Raw food Ristorante.Ristorante.Small plates Ristorante.Vegan Ristorante Magna
Graniburger,41,4.9,Corso di Porta Ticinese. 68. 20173 Milano MI,45.4551035,9.1802567,Vegan Ristorante Magna
Gram bangla,41,4.5,Via Carlo Farini. 80. 20159 Milano MI,45.4954739,9.1858654,Bangladeshi Ristorante Magna
Sushi Li,41,4.2,Via Filippo Baldinucci. 6. 20158 Milano MI,45.5059384,9.1775738,Sushi Ristorante Magna
La Piadineria,41,3.7,Via Fratelli Campi. 2. 20135 Milano MI,45.4597384,9.2068973,Fast food Ristorante.Family Ristorante.Health food Ristorante.Italiano Ristorante.Takeout Ristorante.Ristorante.Traditional Ristorante.Vegetarian Ristorante Magna
Magna e Godi (la vera pinsa romana..),42,4.8,Via Pietro Custodi. 1. 20136 Milano MI,45.4516411,9.1820358,Fast food Ristorante.Italiano Ristorante.Pizza delivery.Pizza Ristorante.Pizza takeaway Magna
Da Zhong,42,4.7,Via Paolo Sarpi. 4. 20154 Milano MI,45.4818524,9.1806374,Tofu Ristorante.Cinese Ristorante Magna
Franci'S Bar Di Lanzetta Carmine & C.,42,4.4,Viale S. Michele del Carso. 6. 20144 Milano MI,45.4652479,9.164448,Bar Magna
Bar Tabacchi Si & Ga di Lupini Graziella,43,4.5,Alzaia Naviglio Pavese. 24. 20143 Milano MI,45.4490124,9.1771636,Bar tabac.Bar Magna
Bar Vittorio,43,3.1,Largo Alberto Camus. 1. 20145 Milano MI,45.4739524,9.1605391,Bistro Magna
Key Bar,44,4.7,Via Montevideo. 10. 20144 Milano MI,45.4559452,9.166369,Bar Magna
Bar Condor,44,4.6,C.so di Porta Nuova. 34. 20121 Milano MI,45.477014,9.1921605,Bar Magna
Pizzeria Turkish Kebap,44,4.4,Viale Umbria. 11. 20135 Milano MI,45.4489365,9.2110628,Ristorante Magna
Obama Bar Ristorante Pizzeria,44,4.2,Via Giovanni Cimabue. 24. 20148 Milano MI,45.4902391,9.1371755,Pizza Ristorante Magna
Nishiki Koi,44,3.6,Via Carlo D'Adda. 3. 20143 Milano MI,45.447982,9.1607509,Sushi Ristorante Magna
Sayedein Bakery,45,4.9,Via Bergamo. 3. 20135 Milano MI,45.457548,9.206695,Bakery.Pastry shop.Pizza Ristorante Magna
Jiaojiao&Baobao,45,4.8,Corso S. Gottardo. 37. 20136 Milano MI,45.4483318,9.179732,Dumpling Ristorante.Cinese Ristorante.Traditional Ristorante Magna
Dulcis Bar Piadineria,45,4.5,Via Lanzone. 27. 20123 Milano MI,45.4607537,9.1765219,Coffee shop.Bar.Bistro.Piadina Ristorante Magna
Dulcis Bar Piadineria,45,4.5,Via Lanzone. 27. 20123 Milano MI,45.4607537,9.1765219,Bar.Coffee shop.Bistro.Piadina Ristorante Magna
Wine Bar - Open Wine - Aperitivi vino Milano,45,4.2,Bastioni di Porta Volta. 18. 20121 Milano MI,45.4786427,9.1815182,Bar Magna
Baxter Bar,46,4.7,Largo Augusto. 1. 20122 Milano MI,45.4632814,9.1969346,Cocktail bar Magna
Gioia Pasticceria,46,3.1,P.za Cordusio. 2. 20121 Milano MI,45.4652605,9.1867365,Pastry shop Magna
Minerale - Bar e Cantina,47,4.4,Via Marco D'Oggiono. 5. 20123 Milano MI,45.4567296,9.1764917,Bar Magna
Bar Tabacchi Chez Yvonne Riv249 - Assistenza Iqos Store - Elf bar Store - Iluma Store - usa e getta lost mary - kiwi store,47,4.4,V.le Sabotino. 19. 20135 Milano MI,45.4510429,9.2006009,Bar tabac.Cafe.Cocktail bar.Coffee shop.Espresso bar.Night club.Sandwich shop.Small plates Ristorante.Tobacco shop.Vaporizer store Magna
Pasticceria Ranieri,47,4.3,Via Giacomo Puccini. 1. 20121 Milano MI,45.4668606,9.1808308,Cake shop Magna
Quadrell,47,4.2,Ripa di Porta Ticinese. 33. 20143 Milano MI,45.4515822,9.1746026,Beer hall Magna
Honu Poke | Milano Vercelli,48,4.5,Via Francesco Cherubini. 3. 20145 Milano MI,45.467215,9.1592949,Poke bar Magna
Tekei Sushi,48,4.4,Via Francesco Anzani. 1. 20135 Milano MI,45.4620249,9.2135895,Takeout Ristorante.Giapponese Ristorante.Sushi Ristorante Magna
Cucina Sri Lanka,48,4.3,Via Luigi Federico Menabrea. 4. 20159 Milano MI,45.4942853,9.1874734,Sri Lankan Ristorante Magna
Orange Bar,50,4.5,Via Paolo Giovio. 45. 20144 Milano MI,45.4620833,9.1625114,Bar Magna
Bar New Deal,50,4.3,Via Filippo Corridoni. 41. 20122 Milano MI,45.4637226,9.2046824,Bar Magna
Bar Queen,50,3.8,Viale Romagna. 10. 20133 Milano MI,45.4695371,9.2241728,Bar Magna
Il Vizio,51,4.7,Via Ulrico Hoepli. 6. 20121 Milano MI,45.4659517,9.192284,Fusion Ristorante.Italiano Ristorante.Ristorante.Sushi Ristorante.Sushi takeaway Magna
Fashion Bar Milano,51,4.6,Via S. Gregorio. 39. 20124 Milano MI,45.4802492,9.2027355,Bar Magna
Karma Sushi Restaurant,51,4.6,Via Alessandro Volta. 21. 20121 Milano MI,45.4807202,9.1826908,Giapponese Ristorante Magna
GRANDMILANO,52,4.8,Via Savona. 90. 20144 Milano MI,45.4510755,9.1540165,Sri Lankan Ristorante Magna
Sapori di Sicilia - Panificio. Pasticceria,52,4.6,Via California. 24. 20144 Milano MI,45.4572905,9.1611557,Bakery Magna
Xin Fu Ji 25,52,4.2,Corso Monforte. 25. 20122 Milano MI,45.4672356,9.2015377,Cinese Ristorante Magna
ZAA Restaurant Milano,53,4.8,P.za Ventiquattro Maggio. 8. 20123 Milano MI,45.453152,9.179172,Ristorante Magna
Atmosfera bistrot,53,4.7,Via Gaetano Previati. 72. 20149 Milano MI,45.4699641,9.1464558,Bistro Magna
Leyla Food & Drink,53,4.6,Via Sigieri. 10. 20135 Milano MI,45.4525891,9.2102748,Sandwich shop.Bar.Bistro.Cake shop.Espresso bar.Ristorante Magna
RavioHub  ??  ????,53,4.5,Via Tonale. 4. 20125 Milano MI,45.4883355,9.2041466,Cinese Ristorante.Dumpling Ristorante.Sichuan Ristorante Magna
Royal Kitchen,53,4.5,Viale Stelvio. 51. 20159 Milano MI,45.4946616,9.1845639,Indiano takeaway Magna
Caminadella Dolci,53,4.4,Via Caminadella. 23. 20123 Milano MI,45.4602778,9.1761111,Dessert Ristorante Magna
Bar al 57,54,4.2,Viale Papiniano. 57. 20123 Milano MI,45.4567504,9.1724983,Bar Magna
Sophia Bakery,54,4.2,Viale Papiniano. 41. 20123 Milano MI,45.4580756,9.1702794,Bakery Magna
Taj Mahal Ristorante,54,4.1,Via Errico Petrella. 19. 20124 Milano MI,45.4838075,9.2095784,Indiano Ristorante Magna
LA PIADINERIA,55,4,Via Andrea Solari. 1. 20144 Milano MI,45.4568359,9.1687995,Fast food Ristorante.Family Ristorante.Health food Ristorante.Italiano Ristorante.Takeout Ristorante.Ristorante.Traditional Ristorante.Vegetarian Ristorante Magna
Bar Miliardo,56,4,Piazza Santa Maria Beltrade. 2. 20123 Milano MI,45.4629256,9.1870278,Bar.Betting agency.Lottery retailer.Tobacco shop Magna
ICHIDON - Ichikawa Donburi Bar,57,4.6,Via Antonio Fogazzaro. 11. 20135 Milano MI,45.4582427,9.2078402,Giapponese Ristorante Magna
Bar AURORA Tabacchi,57,4.6,Via Amatore Sciesa. 15. 20135 Milano MI,45.4602726,9.209436,Bar.Tobacco shop Magna
ZELO,57,4.4,Via Ges. 6/8. 20121 Milano MI,45.4694401,9.1952475,Italiano Ristorante Magna
GustaMi Bakery (Duomo),58,4.7,Via Giuseppe Mazzini. 3. 20123 Milano MI,45.4630896,9.1886479,Bakery.Bar.Breakfast Ristorante.Cafe.Coffee shop.Espresso bar.Pastry shop Magna
Santa Marta Bar Tabacchi,58,4.2,Via Santa Marta. 15. 20123 Milano MI,45.462311,9.183534,Bar Magna
Ravioli Bao,59,4.9,Via Bergamo. 12. 20135 Milano MI,45.456755,9.2081365,Cinese Ristorante Magna
L' Angolo Bar,59,4.5,Via Antonio Lecchi. 19. 20143 Milano MI,45.4439142,9.1739615,Bar Magna
Razdora,60,4.7,Corso di Porta Vigentina. 38. 20122 Milano MI,45.4533633,9.1960432,Pasta shop.Italiano Ristorante.Small plates Ristorante Magna
U Barba Bottega Genovese,60,4.6,Via Pontaccio. 5. 20121 Milano MI,45.4727137,9.1870205,Ligurian Ristorante.Italiano Ristorante Magna
Bar la darsena,60,4.2,Corso S. Gottardo. 3. 20136 Milano MI,45.4516831,9.1801667,Bar Magna
Bistrot Pedol,60,4,Via Giovanni Battista Sammartini. 2. 20125 Milano MI,45.4872546,9.2041498,Seafood Ristorante Magna
